observation_id,carrier,period_end_date,field_name,reported_or_normalized_value,exact_reported_metric_label,source_publication_date,source_page_or_section,source_url,local_source_file,extraction_method,confidence,notes
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,revenue_m,1460.073,Revenue / Operating Revenue / Segment revenue,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,operating_income_m,386.426,Operating income / Operating Income,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,operating_margin_pct,26.5,Operating margin / derived from operating ratio where applicable,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported or algebraic complement when only reciprocal ratio is reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,operating_ratio_pct,73.5,Operating ratio / derived from operating margin where applicable,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported or algebraic complement when only reciprocal ratio is reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,avg_daily_shipments,46931,LTL shipments per day / Total average daily shipments / Shipments per day,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,shipments_yoy_pct,-0.5,LTL shipments per day change / Total average daily shipments change,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,tonnage_per_day,35380,LTL tonnage per day / pounds per day converted to tons,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,tonnage_yoy_pct,-3.2,LTL tonnage per day change / pounds per day change,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,weight_per_shipment_lbs,1508,LTL weight per shipment (lbs.) / Composite weight per shipment,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,weight_per_shipment_yoy_pct,-2.7,Weight per shipment year-over-year change,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,revenue_per_shipment,482.24,LTL revenue per shipment / Composite revenue per shipment,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,revenue_per_shipment_yoy_pct,1.3,Revenue per shipment year-over-year change,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
ODFL_FY2024_Q1_2024-03-31,Old Dominion Freight Line,2024-03-31,revenue_per_shipment_ex_fuel,403.71,LTL revenue per shipment excluding fuel surcharge,2024-04-24,Quarterly financial and operating statistics tables,https://www.sec.gov/Archives/edgar/data/878927/000095017024047274/odfl-ex99_1.htm,outputs\phase1b_ltl_peer_panel\sources\ODFL_2024_Q1_SEC_ex99_1.htm,Reported,High,ODFL single LTL segment; company reports operating ratio and daily metrics.
